,Country,Energy Supply,Energy Supply per Capita,% Renewable
11,Andorra,9,121,88.69565
18,Afghanistan,321,10,78.66928
19,Albania,102,35,100
20,Algeria,1959,51,0.55101
21,American Samoa,...,...,0.641026
22,Andorra,9,121,88.69565
23,Angola,642,27,70.90909
24,Anguilla,2,136,0
25,Antigua and Barbuda,8,84,0
26,Argentina,3378,79,24.06452
27,Armenia,143,48,28.23606
28,Aruba,12,120,14.87069
29,Australia1,5386,231,11.81081
30,Austria,1391,164,72.45282
31,Azerbaijan,567,60,6.384345
32,Bahamas,45,118,0
33,Bahrain,574,425,0
34,Bangladesh,1625,10,1.966329
35,Barbados,19,69,0
36,Belarus,1142,120,0.463389
37,Belgium,2338,210,9.959739
38,Belize,13,39,64.69003
39,Benin,170,16,0
40,Bermuda,6,88,0
41,Bhutan,63,83,100
42,Bolivia (Plurinational State of),336,32,31.47712
43,"Bonaire, Sint Eustatius and Saba",5,213,0
44,Bosnia and Herzegovina,266,70,41.46467
45,Botswana,86,39,0.131406
46,Brazil,12149,59,69.64803
47,British Virgin Islands,2,85,0
48,Brunei Darussalam,127,310,0.045434
49,Bulgaria,703,97,17.23461
50,Burkina Faso,164,10,14.50068
51,Burundi,58,6,86.79245
52,Cabo Verde,7,15,21.22762
53,Cambodia,250,17,57.31159
54,Cameroon,307,14,70.88626
55,Canada,10431,296,61.94543
56,Cayman Islands,8,131,0
57,Central African Republic,23,5,85.63536
58,Chad,77,6,0
59,Chile,1613,92,28.00657
60,China2,127191,93,19.75491
61,"China, Hong Kong Special Administrative Region3",585,82,0
62,"China, Macao Special Administrative Region4",47,83,0
63,Colombia,1513,32,63.00284
64,Comoros,5,7,11.62791
65,Congo,102,23,57.74887
66,Cook Islands,1,48,0
67,Costa Rica,222,47,88.73642
68,Côte d'Ivoire,547,25,22.82278
69,Croatia,321,75,64.28412
70,Cuba,585,51,0.663532
71,Curaçao,78,502,0
72,Cyprus,82,71,6.480186
73,Czech Republic,1751,166,7.067134
74,Democratic People's Republic of Korea,612,25,70.18029
75,Democratic Republic of the Congo,888,12,99.5943
76,Denmark5,725,129,33.53766
77,Djibouti,11,13,0
78,Dominica,2,28,36.63366
79,Dominican Republic,339,33,11.2506
80,Ecuador,680,43,47.71486
81,Egypt,3422,39,8.805713
82,El Salvador,176,29,56.44505
83,Equatorial Guinea,73,91,6.363636
84,Eritrea,34,7,0.550964
85,Estonia,258,195,4.180791
86,Ethiopia,1394,15,99.90825
87,Faeroe Islands,9,179,38.56655
88,Falkland Islands (Malvinas),1,258,33.33333
89,Fiji,31,36,62.00466
90,Finland,1374,252,19.53657
91,France6,10597,166,17.02028
92,French Guiana,13,52,62.00466
93,French Polynesia,12,44,26.8556
94,Gabon,99,60,37.5
95,Gambia,14,7,0
96,Georgia,163,40,82.22487
97,Germany,13261,165,17.90153
98,Ghana,316,12,63.10263
99,Gibraltar,8,245,0
100,Greece,993,90,24.79528
101,Greenland7,9,166,78.125
102,Grenada,5,43,0
103,Guadeloupe,33,70,14.81481
104,Guam,...,...,0
105,Guatemala,452,29,49.52168
106,Guernsey,0,6,0
107,Guinea,145,12,48.44221
108,Guinea-Bissau,29,17,0
109,Guyana,34,45,0
110,Haiti,172,16,12.76018
111,Honduras,217,28,37.76319
112,Hungary,947,95,3.263634
113,Iceland,312,957,99.9724
114,India,33195,26,14.96908
115,Indonesia8,8754,35,12.18904
116,Iran (Islamic Republic of),9172,119,5.707721
117,Iraq,2077,61,7.871554
118,Ireland,548,117,20.92106
119,Isle of Man,0,4,0.793651
120,Israel,997,128,0.872525
121,Italy9,6530,109,33.66723
122,Jamaica,108,39,5.615602
123,Japan10,18984,149,10.23282
124,Jersey,3,34,0
125,Jordan,325,45,0.335979
126,Kazakhstan,3548,208,8.112784
127,Kenya,873,20,73.7571
128,Kiribati,1,8,0
129,Kuwait11,1475,410,0
130,Kyrgyzstan,167,29,93.47655
131,Lao People's Democratic Republic,85,13,93.29009
132,Latvia,183,91,48.83234
133,Lebanon,289,55,6.610478
134,Lesotho,48,23,100
135,Liberia,83,19,0
136,Libya,707,113,0
137,Liechtenstein,3,79,96.47059
138,Lithuania,282,95,41.03318
139,Luxembourg,168,307,45.53324
140,Madagascar,166,7,50.81556
141,Malawi,101,6,89.13565
142,Malaysia,3417,116,7.754589
143,Maldives,15,43,0
144,Mali,66,4,64.76821
145,Malta,31,75,1.419698
146,Marshall Islands,1,28,0
147,Martinique,33,84,2.60771
148,Mauritania,51,13,0
149,Mauritius,58,46,3.531856
150,Mexico,7944,64,12.9134
151,Micronesia (Federated States of),2,21,2.941176
152,Mongolia,475,166,0
153,Montenegro,42,67,65.58152
154,Montserrat,1,153,0
155,Morocco,796,23,15.8918
156,Mozambique,469,18,94.63087
157,Myanmar,682,13,72.04213
158,Namibia,63,27,95.79439
159,Nauru,1,60,0
160,Nepal,458,16,99.68051
161,Netherlands12,3199,190,6.324659
162,New Caledonia,51,200,20.43097
163,New Zealand,876,196,72.87313
164,Nicaragua,149,25,40.76387
165,Niger,87,5,0
166,Nigeria,5589,32,18.39025
167,Niue,0,65,0
168,Northern Mariana Islands,...,...,0
169,Norway,1388,273,97.63558
170,Oman,1015,260,0
171,Pakistan,2868,16,31.87684
172,Palau,3,152,18.75
173,Panama,158,42,57.50948
174,Papua New Guinea,144,20,23.94636
175,Paraguay,228,35,99.99503
176,Peru,858,28,51.96861
177,Philippines,1781,18,26.17264
178,Poland,4121,107,5.537899
179,Portugal13,899,86,53.3403
180,Puerto Rico,56,15,1.080808
181,Qatar,1396,664,0
182,Republic of Korea,11007,221,2.279353
183,Republic of Moldova,93,23,5.082873
184,Réunion,59,70,28.29719
185,Romania,1339,68,34.3845
186,Russian Federation,30709,214,17.28868
187,Rwanda,95,9,35.83535
188,Saint Helena,0,40,9.090909
189,Saint Kitts and Nevis,4,73,0
190,Saint Lucia,6,33,0
